Exp_eres,Exp_lw,Exp_width,Exp_length,Sim_eres,Sim_lw,Sim_width,Sim_length,Exp_ratio,Sim_ratio,dif_eres,dif_lw,dif_width,dif_length,dif_ratio
1.9077,0.1016,26.98,77.37,1.909718643,0.136044468,28.78,74.87,2.867679763,2.601459347,0.002018643,0.034444468,1.8,-2.5,-0.266220416
1.8879,0.0992,25.95,76.75,1.885677564,0.124011844,27.95,74.75,2.95761079,2.674418605,-0.002222436,0.024811844,2,-2,-0.283192185
1.687,0.0979,27.26,101.77,1.689349723,0.099984346,29.06,98.97,3.733308877,3.405712319,0.002349723,0.002084346,1.8,-2.8,-0.327596558
1.9237,0.1098,29.66,77.23,1.921131584,0.139297422,30.16,76.73,2.60384356,2.544098143,-0.002568416,0.029497422,0.5,-0.5,-0.059745417
1.7494,0.0907,26.5,92.08,1.748347551,0.100020206,28,89.08,3.474716981,3.181428571,-0.001052449,0.009320206,1.5,-3,-0.29328841
1.7803,0.102,27.25,94.01,1.778888179,0.107755579,29.75,90.51,3.449908257,3.042352941,-0.001411821,0.005755579,2.5,-3.5,-0.407555316
1.8796,0.0978,27.43,79.4,1.880682531,0.124454747,28.03,76,2.894640904,2.711380664,0.001082531,0.026654747,0.6,-3.4,-0.183260241
1.7649,0.0831,23.79,82.78,1.765249158,0.09578781,25.79,80.78,3.479613283,3.132221791,0.000349158,0.01268781,2,-2,-0.347391491
1.5292,0.1137,27.65,123.05,1.528622735,0.098945058,30.05,122.15,4.450271248,4.064891847,-0.000577265,-0.014754942,2.4,-0.9,-0.385379401
1.6928,0.0973,26.18,101.21,1.695450528,0.100436711,29.18,98.21,3.865928189,3.365661412,0.002650528,0.003136711,3,-3,-0.500266778
1.8753,0.1036,27.59,85.16,1.874243959,0.12507492,30.99,82.76,3.086625589,2.670538884,-0.001056041,0.02147492,3.4,-2.4,-0.416086705
1.8182,0.0939,24.56,80.15,1.815953042,0.103041234,26.06,78.05,3.263436482,2.995011512,-0.002246958,0.009141234,1.5,-2.1,-0.26842497
1.8043,0.0927,27.16,89.22,1.804665256,0.109179139,29.16,87.22,3.284977909,2.991083676,0.000365256,0.016479139,2,-2,-0.293894232
1.9037,0.1156,28.57,81.72,1.900736111,0.138072727,30.87,79.42,2.860343017,2.572724328,-0.002963889,0.022472727,2.3,-2.3,-0.287618689
1.7509,0.094,28.14,94.69,1.750187636,0.104256777,29.14,92.69,3.36496091,3.180851064,-0.000712364,0.010256777,1,-2,-0.184109846
1.8637,0.1045,26.08,81.9,1.861112117,0.117060752,28.58,80.4,3.140337423,2.813156053,-0.002587883,0.012560752,2.5,-1.5,-0.32718137
1.7879,0.0918,25.36,84.98,1.788525802,0.103288356,27.86,84.48,3.350946372,3.032304379,0.000625802,0.011488356,2.5,-0.5,-0.318641993
1.7006,0.0903,25.08,99.84,1.701770042,0.099109792,28.38,96.24,3.980861244,3.391120507,0.001170042,0.008809792,3.3,-3.6,-0.589740737
1.7939,0.096,29.32,92.68,1.794811323,0.113048048,30.32,90.68,3.160982265,2.990765172,0.000911323,0.017048048,1,-2,-0.170217093
1.8702,0.1041,28.86,83.74,1.868135253,0.121666188,30.36,82.54,2.901593902,2.718708827,-0.002064747,0.017566188,1.5,-1.2,-0.182885074
1.8457,0.0977,27.12,86.41,1.847802441,0.11619229,30.12,84.41,3.18620944,2.802456839,0.002102441,0.01849229,3,-2,-0.3837526
1.793,0.0914,26.42,90.99,1.791013743,0.107466463,29.42,88.09,3.443981832,2.994221618,-0.001986257,0.016066463,3,-2.9,-0.449760214
1.8507,0.0928,23.61,74.36,1.849684346,0.109141763,25.61,72.36,3.149512918,2.825458805,-0.001015654,0.016341763,2,-2,-0.324054113
1.8258,0.0968,27.17,85.1,1.823637275,0.113400605,29.17,84.1,3.132131027,2.883099074,-0.002162725,0.016600605,2,-1,-0.249031952
1.8375,0.1002,29.13,89.22,1.83471764,0.114675503,30.23,86.22,3.062821833,2.852133642,-0.00278236,0.014475503,1.1,-3,-0.210688191
1.8236,0.0969,28.43,89.33,1.825619855,0.116692129,30.43,87.63,3.142103412,2.879723957,0.002019855,0.019792129,2,-1.7,-0.262379455
1.7877,0.0964,28.89,92.7,1.789384349,0.111551606,30.39,91.2,3.208722741,3.000987167,0.001684349,0.015151606,1.5,-1.5,-0.207735575
1.911,0.1131,27.31,78.69,1.9118561,0.13807209,29.81,77.19,2.881362138,2.58939953,0.0008561,0.02497209,2.5,-1.5,-0.291962608
1.8514,0.0997,27.62,84.52,1.853979397,0.119503182,29.82,82.22,3.060101376,2.757209926,0.002579397,0.019803182,2.2,-2.3,-0.30289145
1.6828,0.0982,25.84,103.44,1.681045339,0.099676523,28.74,100.14,4.003095975,3.48434238,-0.001754661,0.001476523,2.9,-3.3,-0.518753595
1.7593,0.0858,21.86,79.93,1.761073616,0.092925343,24.06,78.23,3.656450137,3.251454697,0.001773616,0.007125343,2.2,-1.7,-0.404995441
1.8121,0.0945,28.67,87.76,1.809119926,0.109410548,29.47,86.26,3.061039414,2.927044452,-0.002980074,0.014910548,0.8,-1.5,-0.133994962
1.8429,0.099,25.93,85.55,1.841252892,0.112863619,28.93,82.25,3.299267258,2.843069478,-0.001647108,0.013863619,3,-3.3,-0.45619778
