wav,absorbance
900,0.0482422
899,0.0476321
898,0.0566886
897,0.0766332
896,0.0977215
895,0.109505
894,0.108261
893,0.0979736
892,0.0874087
891,0.0795137
890,0.0716223
889,0.0609845
888,0.0492512
887,0.0386045
886,0.0368324
885,0.0464382
884,0.0678184
883,0.0980606
882,0.126347
881,0.140269
880,0.135899
879,0.122182
878,0.109773
877,0.103933
876,0.102013
875,0.101486
874,0.101196
873,0.101391
872,0.101758
871,0.102317
870,0.103338
869,0.104637
868,0.106367
867,0.108158
866,0.109737
865,0.110742
864,0.111419
863,0.111808
862,0.112549
861,0.113922
860,0.115421
859,0.116841
858,0.117934
857,0.118701
856,0.119429
855,0.120532
854,0.12204
853,0.124059
852,0.125571
851,0.126764
850,0.127713
849,0.128296
848,0.127646
847,0.125931
846,0.123198
845,0.121583
844,0.123703
843,0.130919
842,0.139136
841,0.142738
840,0.141022
839,0.134929
838,0.128824
837,0.129108
836,0.136605
835,0.149112
834,0.159405
833,0.161157
832,0.153632
831,0.141774
830,0.133673
829,0.134963
828,0.143312
827,0.149662
826,0.149659
825,0.147956
824,0.158143
823,0.185407
822,0.208401
821,0.213772
820,0.204704
819,0.195658
818,0.19219
817,0.1917
816,0.192613
815,0.194214
814,0.19618
813,0.198633
812,0.201409
811,0.204168
810,0.207153
809,0.209897
808,0.212789
807,0.214926
806,0.217268
805,0.219205
804,0.221196
803,0.223278
802,0.225598
801,0.228542
800,0.231945
799,0.235968
798,0.239724
797,0.243232
796,0.245734
795,0.247495
794,0.249044
793,0.251088
792,0.254583
791,0.260141
790,0.266218
789,0.270926
788,0.273809
787,0.275811
786,0.278169
785,0.281389
784,0.285133
783,0.28899
782,0.292589
781,0.296147
780,0.299375
779,0.30264
778,0.305915
777,0.309138
776,0.312186
775,0.315175
774,0.318849
773,0.322329
772,0.32573
771,0.328472
770,0.330531
769,0.331298
768,0.331123
767,0.332452
766,0.339219
765,0.350804
764,0.359906
763,0.364483
762,0.364069
761,0.365063
760,0.36778
759,0.370758
758,0.373436
757,0.375973
756,0.37847
755,0.380768
754,0.383093
753,0.385592
752,0.38835
751,0.39117
750,0.393896
749,0.395945
748,0.397847
747,0.399266
746,0.400276
745,0.40118
744,0.402463
743,0.404399
742,0.406379
741,0.407742
740,0.408335
739,0.408776
738,0.408933
737,0.408788
736,0.408809
735,0.40949
734,0.410863
733,0.411926
732,0.412235
731,0.411639
730,0.411261
729,0.410462
728,0.409319
727,0.407734
726,0.405924
725,0.404375
724,0.402343
723,0.40003
722,0.397908
721,0.395717
720,0.393815
719,0.39143
718,0.388875
717,0.385922
716,0.382948
715,0.379703
714,0.376989
713,0.373362
712,0.37016
711,0.366285
710,0.362536
709,0.358297
708,0.353848
707,0.349356
706,0.344771
705,0.340324
704,0.335767
703,0.331349
702,0.326562
701,0.321226
700,0.31611
699,0.310968
698,0.306003
697,0.300773
696,0.295589
695,0.289927
694,0.284267
693,0.278635
692,0.272819
691,0.267752
690,0.262859
689,0.258351
688,0.253473
687,0.248361
686,0.242957
685,0.238009
684,0.233351
683,0.228363
682,0.223444
681,0.218414
680,0.213799
679,0.208799
678,0.204067
677,0.199793
676,0.195314
675,0.190785
674,0.186336
673,0.182185
672,0.178297
671,0.174702
670,0.170674
669,0.166831
668,0.163249
667,0.160024
666,0.156446
665,0.153173
664,0.149848
663,0.146717
662,0.143905
661,0.141034
660,0.138123
659,0.135408
658,0.132706
657,0.130081
656,0.127428
655,0.124702
654,0.122124
653,0.119615
652,0.117479
651,0.115545
650,0.113835
649,0.111829
648,0.109612
647,0.107435
646,0.105877
645,0.10463
644,0.103199
643,0.101504
642,0.0997983
641,0.0984705
640,0.0970566
639,0.0954603
638,0.0935384
637,0.0919898
636,0.0909194
635,0.0907576
634,0.0898009
633,0.0888667
632,0.0877634
631,0.0866197
630,0.0855952
629,0.0846802
628,0.0832551
627,0.0816699
626,0.0806194
625,0.0797497
624,0.0791382
623,0.0788314
622,0.0780664
621,0.0780097
620,0.0777793
619,0.0772717
618,0.0770271
617,0.0760465
616,0.0753477
615,0.0746323
614,0.0742002
613,0.073715
612,0.0735821
611,0.0728411
610,0.0723379
609,0.0720252
608,0.0719441
607,0.0719819
606,0.0719644
605,0.0716521
604,0.0717009
603,0.0714385
602,0.0712813
601,0.0706284
600,0.0703199
599,0.0698428
598,0.069815
597,0.0697235
596,0.0695025
595,0.0695016
594,0.0695994
593,0.0697973
592,0.0698456
591,0.0698077
590,0.0701033
589,0.0698029
588,0.0698906
587,0.0700999
586,0.0708363
585,0.070956
584,0.070911
583,0.0708268
582,0.0707505
581,0.0711971
580,0.0717967
579,0.0722145
578,0.0726233
577,0.0728295
576,0.0735075
575,0.0736929
574,0.0737878
573,0.0739771
572,0.0744478
571,0.0749028
570,0.0755567
569,0.0761546
568,0.0766885
567,0.0770774
566,0.0776563
565,0.0785977
564,0.0794858
563,0.0804011
562,0.0807006
561,0.0810494
560,0.081451
559,0.0823005
558,0.0829216
557,0.0841013
556,0.0851571
555,0.0869122
554,0.0880126
553,0.0889445
552,0.0901326
551,0.0910444
550,0.0920112
549,0.0935061
548,0.0949874
547,0.0963497
546,0.097586
545,0.0990186
544,0.100514
543,0.102222
542,0.103918
541,0.105566
540,0.107379
539,0.109045
538,0.110909
537,0.11245
536,0.114
535,0.115514
534,0.117229
533,0.119126
532,0.120695
531,0.122303
530,0.123782
529,0.125237
528,0.126855
527,0.128248
526,0.12986
525,0.131023
524,0.132283
523,0.133944
522,0.135502
521,0.136685
520,0.13756
519,0.13826
518,0.138976
517,0.139502
516,0.139893
515,0.140146
514,0.139902
513,0.140097
512,0.139685
511,0.139068
510,0.138149
509,0.137187
508,0.136265
507,0.135297
506,0.134597
505,0.133804
504,0.132472
503,0.13066
502,0.128729
501,0.127358
500,0.126507
499,0.125722
498,0.124817
497,0.123335
496,0.122118
495,0.120494
494,0.119113
493,0.117854
492,0.116926
491,0.115919
490,0.114989
489,0.114028
488,0.113341
487,0.112805
486,0.112532
485,0.112005
484,0.111319
483,0.110785
482,0.110588
481,0.110482
480,0.109888
479,0.109077
478,0.108017
477,0.10732
476,0.106952
475,0.107243
474,0.107607
473,0.107324
472,0.107557
471,0.106783
470,0.107048
469,0.107096
468,0.106829
467,0.10646
466,0.106434
465,0.106521
464,0.106995
463,0.107007
462,0.107433
461,0.107133
460,0.107439
459,0.10735
458,0.107362
457,0.107241
456,0.107736
455,0.107681
454,0.107663
453,0.107768
452,0.107675
451,0.10851
450,0.108359
449,0.108462
448,0.108462
447,0.108902
446,0.109511
445,0.109976
444,0.110139
443,0.110395
442,0.110176
441,0.10975
440,0.109559
439,0.10985
438,0.110044
437,0.110198
436,0.109782
435,0.10962
434,0.110094
433,0.110597
432,0.111463
431,0.111346
430,0.111393
429,0.111185
428,0.111049
427,0.110864
426,0.110949
425,0.110796
424,0.110877
423,0.111259
422,0.111785
421,0.112131
420,0.112267
419,0.112117
418,0.11239
417,0.113292
416,0.113908
415,0.114305
414,0.114172
413,0.114029
412,0.113862
411,0.113696
410,0.113557
409,0.114197
408,0.114878
407,0.11537
406,0.115501
405,0.115887
404,0.116242
403,0.116212
402,0.11662
401,0.116956
400,0.117158
399,0.117006
398,0.116804
397,0.117005
396,0.117534
395,0.117237
394,0.117581
393,0.117746
392,0.118581
391,0.118878
390,0.119219
389,0.119251
388,0.119278
387,0.119318
386,0.119304
385,0.119168
384,0.119163
383,0.119725
382,0.120275
381,0.120609
380,0.120467
379,0.120268
378,0.12019
377,0.120146
376,0.119903
375,0.119376
374,0.119942
373,0.120585
372,0.12115
371,0.121236
370,0.12108
369,0.12101
368,0.121094
367,0.120795
366,0.120751
365,0.121065
364,0.121784
363,0.122434
362,0.122129
361,0.12155
360,0.121335
359,0.122255
358,0.122943
357,0.122913
356,0.122461
355,0.121665
354,0.121677
353,0.121876
352,0.122319
351,0.122723
350,0.122932
349,0.123375
348,0.12354
347,0.123609
346,0.12357
345,0.124281
344,0.124583
343,0.125197
342,0.126154
341,0.126619
340,0.127095
339,0.126717
338,0.126845
337,0.127241
336,0.128018
335,0.128426
334,0.12907
333,0.12917
332,0.129651
331,0.129683
330,0.130708
329,0.131552
328,0.132709
327,0.132771
326,0.133213
325,0.133429
324,0.134034
323,0.13447
322,0.13471
321,0.135233
320,0.135916
319,0.136508
318,0.137529
317,0.13833
316,0.138915
315,0.139323
314,0.139394
313,0.139227
312,0.139186
311,0.139469
310,0.140362
309,0.141096
308,0.141795
307,0.142164
306,0.142898
305,0.143383
304,0.144159
303,0.145365
302,0.146771
301,0.147671
300,0.148114
