length,width
83.356,22.14
66.01,22.14
76.002,23.77
72.128,22.75
75.548,23.675
73.675,21.131
70.757,21.393
78.714,22.445
83.236,23.076
74.261,22.613
79.721,22.348
80.085,21.83
88.428,22.462
82.132,22.445
75.157,21.481
74.404,20.982
66.273,21.411
68.66,25.678
65.446,24.889
72.064,21.09
86.974,21.743
72.128,22.382
82.78,21.848
76.366,22.675
65.895,22.136
69.484,23.988
75.409,22.382
75.938,24.92
75.369,22.259
82.297,23.244
72.628,22.575
71.284,23.535
86.522,23.623
85.692,21.309
84.891,20.467
65.654,21.202
78.099,23.727
73.014,23.531
77.859,20.915
70.432,23.877
65.795,21.411
50.474,19.618
79.916,24.071
88.262,20.765
66.01,23.655
73.776,21.586
84.616,23.663
72.597,21.309
85.045,21.415
80.265,20.91
66.26,22.646
67.363,23.976
78.696,22.675
73.607,22.613
72.863,22.646
69.338,23.735
87.234,22.469
80.059,20.216
84.011,20.938
88.536,21.535
89.791,21.698
81.103,21.281
80.001,21.702
63.575,19.616
78.751,21.127
81.738,19.593
91.884,19.8
97.381,21.748
70.412,19.125
62.357,20.567
71.279,23.925
78.128,22.916
77.096,22.836
76.513,21.37
85.451,21.161
80.492,22.079
95.138,21.127
75.802,21.127
75.293,23.203
79.986,20.669
74.524,23.023
75.67,21.739
81.965,20.906
72.264,24.012
73.817,22.28
74.108,21.998
64.396,22.75
67.94,21.986
85.988,21.032
73.99,24.479
74.866,23.146
111.468,22.356
88.282,22.779
88.345,22.609
78.151,23.244
83.289,22.675
85.285,20.601
76.83,20.439
84.42,22.31
76.941,23.735
